"loc","loc.correct","Freq"
"brazil_sao paulo_parque estado_parque estado, on old maps ""parque agua funda""","",9
"brazil_sao paulo_parque estadual instituto florestal","",9
"brazil_sao paulo_parque estadual sera mar_parque estadual sera mar","",9
"brazil_sao paulo_pedra bela_pedra bela","",9
"brazil_sao paulo_pindamonhangaba_trabiju","",9
"brazil_sao paulo_piracaia_piracaia","",9
"brazil_sao paulo_plantas brasil_plantas brasil","",9
"brazil_sao paulo_praia grande_area na beira rod","",9
"brazil_sao paulo_praia grande_porto pequeno","",9
"brazil_sao paulo_prope alto serra","",9
"brazil_sao paulo_prope alto serra_prope alto serra","",9
"brazil_sao paulo_registro_2 km east of sete barras","",9
"brazil_sao paulo_reserva biologica alto serra paranapiacaba","",9
"brazil_sao paulo_rio batalha","",9
"brazil_sao paulo_rio claro_unesp rio claro campus bela vista","",9
"brazil_sao paulo_rio vermelho_beira rodovia regis bittencourt","",9
"brazil_sao paulo_rodovia santos dumont","",9
"brazil_sao paulo_salesopolis_estacao biologica boracea","",9
"brazil_sao paulo_santo andre_trilha estrada bela vista","",9
"brazil_sao paulo_sao bento sapucai_apa pedra bau","",9
"brazil_sao paulo_sao bento sapucai_estacionamento pedra bauzinho","",9
"brazil_sao paulo_sao bento sapucai_trilha bauzinho","",9
"brazil_sao paulo_sao carlos_proximo ao iate clube represa broa","",9
"brazil_sao paulo_sao miguel arcanjo_estrada sete barras p","",9
"brazil_sao paulo_sao paulo_estrada marsilac, parque estadual serra mar nucleo curucutu","",9
"brazil_sao paulo_sao paulo_nativa jardim botanico","",9
"brazil_sao paulo_sao paulo_rodoanel mario covas","",9
"brazil_sao paulo_sao pedro_fazenda aurora","",9
"brazil_sao paulo_se","",9
"brazil_sao paulo_serra itapetinga","",9
"brazil_sao paulo_serra japi_serra japi, na trilha a esquerda antes chegar na base reserva","",9
"brazil_sao paulo_silveiras_serra bocaina, estrada lageado macacos","",9
"brazil_sao paulo_silveiras_silveiras","",9
"brazil_sao paulo_sitio branca neve","",9
"brazil_sao paulo_southern shore cananeia","",9
"brazil_sao paulo_southern shore cananeia_ilha comprida","",9
"brazil_sao paulo_trilha cachoeira indiana","",9
"brazil_sao paulo_type","",9
"brazil_sao paulo_type_type","",9
"brazil_sao paulo_ubatuba_parque estadual serr mar","",9
"brazil_sao paulo_ubatuba_parque estadual serra mar trilha jatoba","",9
"brazil_sao paulo_ubatuba_parque estadual serra mar trilha rio picinguaba","",9
"brazil_sao paulo_ubatuba_parque estadual serro mar, trail along the rio fazenda starting at casa farinha","",9
"brazil_sao paulo_ubatuba_parque estaduals, fazenda capricornio","",9
"brazil_sao paulo_ubatuba_parque nacional ilha anchieta","",9
"brazil_sao paulo_ubatuba_pinciguaba","",9
"brazil_sao paulo_ubatuba_planicie litoranea pinciguaba","",9
"brazil_sao paulo_ubatuba_praia costa","",9
"brazil_sao paulo_ubatuba_praia tenorio e praia cedro","",9
"brazil_sao paulo_ubatuba_trilha almada km 13 rodovia rio","",9
"brazil_sao paulo_ubatuba_trilha picadao barra","",9
"brazil_sao paulo_vila pedra branca","",9
"brazil_sao paulo_vila pedra branca_vila pedra branca","",9
"brazil_so paulo_","",9
"brazil_so paulo_._brasil","",9
"brazil_sao paulo_campos jordao_parque estadual campos jordao, estrada caminho para aparecida, antes entrada parque, lado direito estrada","brazil_sao paulo_campos jordao_pe campos jordao",9
"brazil_sao paulo_jundiai_serra japi, estrada ermida","brazil_sao paulo_jundiai_serra japi",9
"brazil_sao paulo_peruibe_estacao ecologica jureia, estacao ecologica jureia","brazil_sao paulo_peruibe_eec jureia itatins",9
"brazil_sao paulo_ribeirao grande_parque estadual intervales, fazenda intervales","brazil_sao paulo_ribeirao grande_parque estadual intervales",9
"brazil_NA_bragan a paulista","",8
"brazil_NA_brotas","",8
"brazil_NA_guaraque aba","",8
"brazil_NA_NA_estrada em torno represa atibainha","",8
"brazil_NA_NA_fazenda pedra vermelha","",8
"brazil_NA_NA_fazenda santo ant nio","",8
"brazil_NA_NA_matao","",8
"brazil_NA_NA_rio cedro","",8
"brazil_NA_registro","",8
"brazil_NA_s a o paulo","",8
"brazil_NA_serra japi","",8
"brazil_s o paulo_maripor","",8
"brazil_s o paulo_maripor_represa paiva castro","",8
"brazil_sao paulo_14_6 km w ao longo estrada braganca paulista","",8
"brazil_sao paulo_8g5c+92","",8
"brazil_sao paulo_8g5c+92_8g5c+92","",8
"brazil_sao paulo_900m baixada","",8
"brazil_sao paulo_about 1 km west","",8
"brazil_sao paulo_along road 12 15 km n from city of caraguatatuba towards paraibuna","",8
"brazil_sao paulo_amparo_beira estrada","",8
"brazil_sao paulo_amparo_fazenda nossa senhora encarnacao","",8
"brazil_sao paulo_analandia_fazenda pedra vermelha regiao cuestas","",8
"brazil_sao paulo_analandia_sitio bela vista","",8
"brazil_sao paulo_angatuba_sitio ze branco","",8
"brazil_sao paulo_ao longo rodovia sao paulo sao carlos","",8
"brazil_sao paulo_araca","",8
"brazil_sao paulo_araca_araca","",8
"brazil_sao paulo_arie","",8
"brazil_sao paulo_atibaia_brazil","",8
"brazil_sao paulo_atibaia_reserva municipal grota funda, inicio trilha perto entrada reserva","",8
"brazil_sao paulo_av_jardim novo horizonte","",8
"brazil_sao paulo_avenida paulo guilguer reimberg","",8
"brazil_sao paulo_avenida paulo guilguer reimberg_avenida paulo guilguer reimberg","",8
"brazil_sao paulo_barra turvo_beira rodovia regis bittencourt","",8
"brazil_sao paulo_barra turvo_borda imediata parque estadual jacupiranga","",8
"brazil_sao paulo_barra turvo_parque estadual jacupiranga nucleo cedro","",8
"brazil_sao paulo_bauru_estacao ecologicainstituto florestal","",8
"brazil_sao paulo_bertioga_1 km n of the town","",8
"brazil_sao paulo_bertioga_coordenadas geograficas aproximadas","",8
"brazil_sao paulo_bertioga_cultivada em porto alegre","",8
"brazil_sao paulo_bertioga_estacao biologica","",8
"brazil_sao paulo_bertioga_estrada bertioga","",8
"brazil_sao paulo_bertioga_foz rio guaratuba","",8
"brazil_sao paulo_bertioga_praia sao lourenco","",8
"brazil_sao paulo_bofete_estrada terra em direcao as 3 pedras","",8
"brazil_sao paulo_boraceia_estacao biologica boraceia","",8
"brazil_sao paulo_botucatu_ao longo estrada sao manuel","",8
"brazil_sao paulo_botucatu_entrada empresa duratex","",8
"brazil_sao paulo_botucatu_estrada fazenda indiana","",8
"brazil_sao paulo_botucatu_estrada para a cachoeira veu noiva","",8
"brazil_sao paulo_botucatu_fazenda quatro meninas","",8
"brazil_sao paulo_botucatu_parque ecologico pavuna sede ate a trilha a direita ate cacheira e volta por trilha em barranco rochoso","",8
"brazil_sao paulo_botucatu_parque ecologico pavuna sede ate a trilha a direita ate cachoeira e volta por trilha em barranco rochoso","",8
"brazil_sao paulo_br 101","",8
"brazil_sao paulo_braganca paulista_afloramento rochoso lado direito rodovia fernao dias","",8
"brazil_sao paulo_braganca paulista_ao longo estrada","",8
"brazil_sao paulo_braganca paulista_ao longo estrada que liga a cidade a rodovia fernao dias","",8
"brazil_sao paulo_braganca paulista_estrada itatiba braganca paulista","",8
"brazil_sao paulo_braganca paulista_fazenda santo antonio","",8
"brazil_sao paulo_braganca paulista_itatiba","",8
"brazil_sao paulo_braganca paulista_na estrada para pedra bela","",8
"brazil_sao paulo_braganca paulista_varzea rio jacarei","",8
"brazil_sao paulo_brasilia","",8
"brazil_sao paulo_brasilia_brasilia","",8
"brazil_sao paulo_brazil_intervales state park, estrada municipal","",8
"brazil_sao paulo_brotas_100 meters south of itirapina brotas road, 2 km west of turnoff road to campo alegre","",8
"brazil_sao paulo_brotas_sitio 7 quedas","",8
"brazil_sao paulo_cabreuva_distrito jacare","",8
"brazil_sao paulo_cabreuva_estrada cabreuva pirapora bom jesus","",8
"brazil_sao paulo_cachoeira paulista_margem estrada","",8
"brazil_sao paulo_campinas_estrada souzas pedreira","",8
"brazil_sao paulo_campinas_mata macucu","",8
"brazil_sao paulo_campinas_reserva santa genebra","",8
"brazil_sao paulo_campo limpo paulista_campo limpo paulista","",8
"brazil_sao paulo_campos cunha","",8
"brazil_sao paulo_campos dp jordao","",8
"brazil_sao paulo_campos jordao_ducha prata","",8
"brazil_sao paulo_campos jordao_estrada velha para santo antonio pinhal","",8
"brazil_sao paulo_campos jordao_hotel golden park campos jordao","",8
"brazil_sao paulo_campos jordao_lagoinha","",8
"brazil_sao paulo_campos jordao_margens estrada acesso ao pico itapeva","",8
"brazil_sao paulo_campos jordao_mirante vale paiol grande","",8
"brazil_sao paulo_campos jordao_parque estadual c","",8
"brazil_sao paulo_campos jordao_parque estadual campus jordao","",8
"brazil_sao paulo_campos jordao_pcej","",8
"brazil_sao paulo_campos jordao_pecj efe 1","",8
"brazil_sao paulo_campos jordao_proximo ao pico itapeva","",8
"brazil_sao paulo_campos jordao_proximo pico itapeva","",8
"brazil_sao paulo_campos jordao_subida pico itapeva","",8
"brazil_sao paulo_campos jordao_vila capivari","",8
"brazil_sao paulo_campos sete lagoas""""","",8
"brazil_sao paulo_cananeia_5 rodovia sp 236","",8
"brazil_sao paulo_cananeia_along road from jacupiranga to cananeia","",8
"brazil_sao paulo_cananeia_coletado a beira rodovia","",8
"brazil_sao paulo_cananeia_estrada para a captacao agua doce","",8
"brazil_sao paulo_cananeia_estrada para captacao agua doce","",8
"brazil_sao paulo_cananeia_estrada para pariquera acu","",8
"brazil_sao paulo_cananeia_estrada para turbina","",8
"brazil_sao paulo_cananeia_maruja","",8
"brazil_sao paulo_cananeia_morro jacareu","",8
"brazil_sao paulo_cananeia_parcela permanente ilha cardoso","",8
"brazil_sao paulo_cananeia_pedrinhas","",8
"brazil_sao paulo_cananeia_ponta itacuruca","",8
"brazil_sao paulo_cananeia_reserva florestal","",8
"brazil_sao paulo_cananeia_sao paulo","",8
"brazil_sao paulo_cananeia_sao paulo bagre","",8
"brazil_sao paulo_cananeia_south tip of the island of ilha compride","",8
"brazil_sao paulo_centro paulus_centro paulus","",8
"brazil_sao paulo_circa 100 m n lugarejo agudo","",8
"brazil_sao paulo_circa 7 km west of rr crossing at city of itirapina","",8
"brazil_sao paulo_circa 7km west of rr crossing at city of itirapina","",8
"brazil_sao paulo_city of cananeia","",8
"brazil_sao paulo_city of cananeia_city of cananeia","",8
"brazil_sao paulo_conceicao itanhaem","",8
"brazil_sao paulo_conceicao itanhaem_conceicao itanhaem","",8
"brazil_sao paulo_corumbatai_estrada para corumbatai partindo sp 310 rio claro, sao carlos reserva unesp","",8
"brazil_sao paulo_corumbatai_estrada waschington luis","",8
"brazil_sao paulo_corumbatai_rodovia waschington luiz","",8
"brazil_sao paulo_cruzamento entre as rodovias fernao dias e rodovia dom pedro i","",8
"brazil_sao paulo_cubatao_descida para a santa","",8
"brazil_sao paulo_cubatao_estrada velha","",8
"brazil_sao paulo_cubatao_interligacao imigrantes","",8
"brazil_sao paulo_cubatao_parque ecologico caminhos mar","",8
"brazil_sao paulo_cunha_estrada em direcao ao morro marlene","",8
"brazil_sao paulo_diadema_reserva estadual curucutu","",8
"brazil_sao paulo_ecological station of jureia","",8
"brazil_sao paulo_ecological station of jureia_ecological station of jureia","",8
"brazil_sao paulo_edges of open swampy area","",8
"brazil_sao paulo_eldorado paulista_parque estadual jacupiranga","",8
"brazil_sao paulo_eldorado_6 10 km from caverna diabo to eldorado","",8
"brazil_sao paulo_embura alto","",8
"brazil_sao paulo_estrada para paiol","",8
"brazil_sao paulo_estrada velha","",8
"brazil_sao paulo_estrada vicinal nao pavimentada","",8
"brazil_sao paulo_fazenda demetria","",8
"brazil_sao paulo_fazenda paraiso","",8
"brazil_sao paulo_franco rocha_setor a","",8
"brazil_sao paulo_furnas bom jesus_furnas bom jesus","",8
"brazil_sao paulo_gardens around herbarium","",8
"brazil_sao paulo_gardens around herbarium_gardens around herbarium","",8
"brazil_sao paulo_guapiara_serra paranapicaba, fazenda","",8
"brazil_sao paulo_guaratingueta_proximo mirante sao jose alpes","",8
"brazil_sao paulo_guaruja_trilha a esquerda inicio estrada","",8
"brazil_sao paulo_guarulhos_alca acesso ao aeroporto guarulhos","",8
"brazil_sao paulo_guarulhos_rodoanel trecho norte","",8
"brazil_sao paulo_ibitinga_estrada proximo a barragem rio tiete 21°45'13""s 48°59'55""w","",8
"brazil_sao paulo_ibiuna_8 km sp 250 no km 63","",8
"brazil_sao paulo_ibiuna_proximo sp 250","",8
"brazil_sao paulo_igarata_mata fazenda senhor barboza","",8
"brazil_sao paulo_iguape_estacao ecologica chauas, no km 78 rodovia pariquera iguape, no trecho com floresta restinga mais preservada","",8
"brazil_sao paulo_iguape_reserva jureia","",8
"brazil_sao paulo_iguape_restinga grajau","",8
"brazil_sao paulo_iguape_rio momuna","",8
"brazil_sao paulo_ilha bela_ilha vitoria","",8
"brazil_sao paulo_ilha comprida_mata proxima a estrada","",8
"brazil_sao paulo_ilha comprida_porcoes inundaveis entre moitas","",8
"brazil_sao paulo_ilha queimada grande","",8
"brazil_sao paulo_in a small isle of trees","",8
"brazil_sao paulo_instituto botanico","",8
"brazil_sao paulo_instituto botanico_instituto botanico","",8
"brazil_sao paulo_instituto florestal","",8
"brazil_sao paulo_iporanga_nucleo cabloco","",8
"brazil_sao paulo_iporanga_parque estadual intervale","",8
"brazil_sao paulo_iporanga_parque estadual turistica alto ribeira","",8
"brazil_sao paulo_itanhaem_nucleo curucutu","",8
"brazil_sao paulo_itatinga_as margens rodovia eduardo zuccari","",8
"brazil_sao paulo_itipirina","",8
"brazil_sao paulo_itirapina_estrada 225","",8
"brazil_sao paulo_itirapina_estrada que liga itirapina a brotas","",8
"brazil_sao paulo_itirapina_estrada vicinal","",8
"brazil_sao paulo_itirapina_estrada washington luiz","",8
"brazil_sao paulo_itirapina_fazenda ripasa, segundo brejo lado esquerda estrada em direcao a brotas","",8
"brazil_sao paulo_itirapina_margem ferrovia","",8
"brazil_sao paulo_itirapina_primeiro brejo lado esquerdo estrada para brotas, fazenda ripasa","",8
"brazil_sao paulo_itirapina_trevo itarapina 22°13'02''s 47°45'55 2''w","",8
"brazil_sao paulo_j alpestre","",8
"brazil_sao paulo_j alpestre_j alpestre","",8
"brazil_sao paulo_jacare","",8
"brazil_sao paulo_jardim nova rio claro","",8
"brazil_sao paulo_jardim nova rio claro_jardim nova rio claro","",8
"brazil_sao paulo_joanopolis_a 15 km cidade junto a cachoeira pretos","",8
"brazil_sao paulo_joanopolis_margem estrada","",8
"brazil_sao paulo_joanopolis_nativo em area mata a 15km cidade junto a cachoeira pretos","",8
"brazil_sao paulo_joanopolis_proximo a cachoeirar pretos","",8
"brazil_sao paulo_jundiai_bairro rio acima","",8
"brazil_sao paulo_jundiai_jardim botanico","",8
"brazil_sao paulo_jundiai_paraiso iii","",8
"brazil_sao paulo_jundiai_reserva biologica municipal serra japi estrada cascalheira ate o fim","",8
"brazil_sao paulo_jundiai_reserva biologica municipal serra japi trilha mirante","",8
"brazil_sao paulo_jundiai_sitio branca neve, estrada aeroporto","",8
"brazil_sao paulo_juquia_reserva particular votorantim, beira estrada","",8
"brazil_sao paulo_juquitiba_bairro lamartinos","",8
"brazil_sao paulo_juquitiba_estrada municipal","",8
"brazil_sao paulo_jureia","",8
"brazil_sao paulo_lavrinhas_brasil","",8
"brazil_sao paulo_lavrinhas_lavrinhas","",8
"brazil_sao paulo_mairipora_7 km south along road from nazare paulista, near enterance of ""fazenda central""","",8
"brazil_sao paulo_mairipora_condominio recanto hortensias","",8
"brazil_sao paulo_mairipora_condominio sausalito","",8
"brazil_sao paulo_mairipora_fazenda paineira","",8
"brazil_sao paulo_mata regiao sul sao paulo","",8
"brazil_sao paulo_mata regiao sul sao paulo_centro paulus","",8
"brazil_sao paulo_miracatu_curso taxonomia campo usp","",8
"brazil_sao paulo_miracatu_parque estadual jurupara, estrada morro, caminho para o parque","",8
"brazil_sao paulo_miracatu_parque estadual jurupara, na margem estrada","",8
"brazil_sao paulo_mogi cruzes_empresa embu","",8
"brazil_sao paulo_mongagua_poco antas","",8
"brazil_sao paulo_monte alegre sul_morro antena","",8
"brazil_sao paulo_monteiro lobato_entre monteiro lobato e campos jordao","",8
"brazil_sao paulo_morro camelo_morro camelo","",8
"brazil_sao paulo_mun atibaia","",8
"brazil_sao paulo_municipio cubatao","",8
"brazil_sao paulo_natividade serra_proximidades parque estadual serra mar nucleo sta","",8
"brazil_sao paulo_nativo em area mata a 15 km cidade junto a cachoeira pretos","",8
"brazil_sao paulo_nativo em area mata a 15 km cidade junto a cachoeira pretos_nativo em area mata a 15 km cidade junto a cachoeira pretos","",8
"brazil_sao paulo_nativo em mata na serra japi","",8
"brazil_sao paulo_nativo em mata na serra japi_nativo em mata na serra japi","",8
"brazil_sao paulo_nazare paulista_area pasto nao manejado proximo a borda floresta secundaria em propriedade particular","",8
"brazil_sao paulo_nazare paulista_estrada em torno respresa atibainha","",8
"brazil_sao paulo_nazare paulista_estrada entorno represa atibainha","",8
"brazil_sao paulo_nazare paulista_fazenda em torno represa atibainha","",8
"brazil_sao paulo_nazare paulista_rodovia d","",8
"brazil_sao paulo_nazare paulista._estrada em torno represa atibainha","",8
"brazil_sao paulo_nova odessa_institudo zootecnia","",8
"brazil_sao paulo_palheireiros","",8
"brazil_sao paulo_pardinho_estrada terra em direcao a pedra indio","",8
"brazil_sao paulo_parelheiros_reserva estadual curucutu","",8
"brazil_sao paulo_parque estadual intervales_parque estadual intervales, estrada municipal","",8
"brazil_sao paulo_parque estadual serra mar nucleocurucutu","",8
"brazil_sao paulo_parque municipal serra japi_parque municipal serra japi","",8
"brazil_sao paulo_parque natural municipal nascentes paranapiacab","",8
"brazil_sao paulo_pedro toledo_19km sw of turnoff to juquitiba","",8
"brazil_sao paulo_piquete_trilha acesso ao pico marins","",8
"brazil_sao paulo_piracaia_propriedade particular","",8
"brazil_sao paulo_pirassununga_entrocamento rodovia washinton luiz","",8
"brazil_sao paulo_piratininga_estrada municipal piratininga, proximo a fazenda sao jose","",8
"brazil_sao paulo_praia puruba","",8
"brazil_sao paulo_primeiro brejo lado esquerdo estrada para brotas","",8
"brazil_sao paulo_registro_5 km east of sete barras","",8
"brazil_sao paulo_registro_7 km e of city of sete barras","",8
"brazil_sao paulo_reserva carlos botelho","",8
"brazil_sao paulo_reserva carlos botelho_reserva carlos botelho","",8
"brazil_sao paulo_reserva particular votorantim","",8
"brazil_sao paulo_ribeirao grande_trilha bocaina em direcao a gruta maozinha","",8
"brazil_sao paulo_ribeirao grande_vegetacao capoeira","",8
"brazil_sao paulo_ribeirao preto_bairro jardim itau mirim","",8
"brazil_sao paulo_rio claro_banco sementes solo coletado no horto florestal ""navarro andrade""","",8
"brazil_sao paulo_rio claro_feena floresta estadual edmundo navarro andrade","",8
"brazil_sao paulo_rio claro_universidade estadual paulista","",8
"brazil_sao paulo_rio ouro","",8
"brazil_sao paulo_rio ouro_rio ouro","",8
"brazil_sao paulo_rodovia oswaldo barbosa guisardi","",8
"brazil_sao paulo_rodovia oswaldo barbosa guisardi_rodovia oswaldo barbosa guisardi","",8
"brazil_sao paulo_rodovia washington luiz","",8
"brazil_sao paulo_rubiao junior a 6 km cidade","",8
"brazil_sao paulo_sabauma","",8
"brazil_sao paulo_sabauna","",8
"brazil_sao paulo_salesopolis sao sebastiao","",8
"brazil_sao paulo_salesopolis_ao longo estrada usaca","",8
"brazil_sao paulo_salesopolis_parque estadual serra mar","",8
"brazil_sao paulo_salesopolis_parque estadual serra mar nucleo caraguatatuba","",8
"brazil_sao paulo_salesopolis/sao sebastiao","",8
"brazil_sao paulo_salesopolis/sao sebastiao_estrada petrobras","",8
"brazil_sao paulo_santa branca_serra monos","",8
"brazil_sao paulo_santa isabel_propriedade particular","",8
"brazil_sao paulo_santo andre_parque nascentes paranapiacaba","",8
"brazil_sao paulo_santo antonio pinhal_alpes santo antonio","",8
"brazil_sao paulo_sao bento sapucai_pedro bauzinho","",8
"brazil_sao paulo_sao bento sapucai_sp","",8
"brazil_sao paulo_sao bernardo campo_chacara centenaria","",8
"brazil_sao paulo_sao carlos_embrapa","",8
"brazil_sao paulo_sao carlos_represa broa","",8
"brazil_sao paulo_sao jose campos_along road to paraibuna","",8
"brazil_sao paulo_sao jose campos_ao longo rodovia pres, e dentro 500 m ao se rodovia","",8
"brazil_sao paulo_sao jose campos_distrito sao francisco","",8
"brazil_sao paulo_sao jose campos_flora reserva florestal boa vista, estrada turvo","",8
"brazil_sao paulo_sao jose campos_res","",8
"brazil_sao paulo_sao jose dox campos_acessada pela estrada santa","",8
"brazil_sao paulo_sao luis paraitinga_parque estaual serra mar","",8
"brazil_sao paulo_sao luiz paraitinga_trilha poco pito","",8
"brazil_sao paulo_sao paulo_apa parque e fazenda carmo, parque ecologico apa carmo","",8
"brazil_sao paulo_sao paulo_br 116","",8
"brazil_sao paulo_sao paulo_fazenda sabesp ao final estrada capivari","",8
"brazil_sao paulo_sao paulo_nascente ribeirao passa quatro","",8
"brazil_sao paulo_sao paulo_parque ecologico a","",8
"brazil_sao paulo_sao paulo_parque ecologico apa carmo trilha 10","",8
"brazil_sao paulo_sao paulo_represa guarapiranga","",8
"brazil_sao paulo_sao paulo_subbacia rio cotia","",8
"brazil_sao paulo_sao pedro_pe serra santana","",8
"brazil_sao paulo_sao sebastiao_arq","",8
"brazil_sao paulo_sao sebastiao_city of sao sebastiao","",8
"brazil_sao paulo_sao sebastiao_morro toque grande","",8
"brazil_sao paulo_sao sebastiao_trilha entre o ponto desembarque e a base marinha","",8
"brazil_sao paulo_sao simao_estacao ecologica santa maria","",8
"brazil_sao paulo_sao vicente_15 km east of mongagua on main highway","",8
"brazil_sao paulo_se from abernessia campos jordao county","",8
"brazil_sao paulo_se from abernessia campos jordao county _circa 4 km","",8
"brazil_sao paulo_sebastiao","",8
"brazil_sao paulo_sebastiao_sebastiao","",8
"brazil_sao paulo_serra japi bei jundiai","",8
"brazil_sao paulo_serra japi bei jundiai_serra japi bei jundiai","",8
"brazil_sao paulo_serra japi_serra japi, estrada para a torre tv cultura","",8
"brazil_sao paulo_serra mar zwischen modi cruzes und bertioga","",8
"brazil_sao paulo_serra mar zwischen modi cruzes und bertioga_serra mar zwischen modi cruzes und bertioga","",8
"brazil_sao paulo_serra paranapiacaba_serra paranapiacaba","",8
"brazil_sao paulo_serra paranapiacaba_serra paranapiacaba, fazenda intervales sudlich capao bonito","",8
"brazil_sao paulo_serra peruibe","",8
"brazil_sao paulo_sete barras_parque estadual intervales nucleo saibadella","",8
"brazil_sao paulo_sete barras_reserva floresta carlos botelho, beira estrada","",8
"brazil_sao paulo_silveiras_cachoeirao bocaina","",8
"brazil_sao paulo_silveiras_estancia bocaina","",8
"brazil_sao paulo_sitio aguas","",8
"brazil_sao paulo_sitio aguas_sitio aguas","",8
"brazil_sao paulo_sp 139_reserva florestal carlos botelho","",8
"brazil_sao paulo_tapirai_area cia","",8
"brazil_sao paulo_tiete_margens rio capivari","",8
"brazil_sao paulo_timburi_timburi","",8
"brazil_sao paulo_trilha acesso para prainha branca","",8
"brazil_sao paulo_trilha casa farinha","",8
"brazil_sao paulo_turvinho","",8
"brazil_sao paulo_turvinho_turvinho","",8
"brazil_sao paulo_ubatuba sp_nucleo picinguaba parque estadual serra mar","",8
"brazil_sao paulo_ubatuba_encosta praia fazenda","",8
"brazil_sao paulo_ubatuba_enseada palmas","",8
"brazil_sao paulo_ubatuba_ilha cabras","",8
"brazil_sao paulo_ubatuba_maranduba","",8
"brazil_sao paulo_ubatuba_parque estadual iha anchieta","",8
"brazil_sao paulo_ubatuba_parque estadual ilha anchieta trilha saco grande","",8
"brazil_sao paulo_ubatuba_praia lamberto","",8
"brazil_sao paulo_ubatuba_praia picinguaba","",8
"brazil_sao paulo_ubatuba_trilha e estrada alamada","",8
"brazil_sao paulo_uhe fumaca","",8
"brazil_sao paulo_valinhos_valinhos","",8
"brazil_sao paulo_villa belha","",8
"brazil_sao paulo_villa belha_villa belha","",8
"brazil_sao paulo, sp_peruibe","",8
"brazil_so paulo_amparo","",8
"brazil_so paulo_bragana paulista_bragana","",8
"brazil_so paulo_campos jordo_parque estadual instituto florestal","",8
"brazil_so paulo_canania_ilha cardoso","",8
"brazil_so paulo_pedro toledo_19 km sw of turnoff to juquitiba","",8
"brazil_sao paulo_analandia_fazenda pedra vermelha, parque raurtscher","brazil_sao paulo_analandia_fazenda pedra vermelha",8
"brazil_sao paulo_campos jordao_parque estadual, horto florestal","brazil_sao paulo_campos jordao_pe campos jordao",8
"brazil_sao paulo_jundiai_reserva biologica municipal serra japi, base cidinho estrada cascalheira","brazil_sao paulo_jundiai_reserva biologica municipal serra japi",8
"brazil_sao paulo_jundiai_reserva biologica municipal serra japi, estrada proxima ao alojamento","brazil_sao paulo_jundiai_reserva biologica municipal serra japi",8
"brazil_sao paulo_jundiai_serra japi, estrada bairro sta","brazil_sao paulo_jundiai_serra japi",8
"brazil_sao paulo_jundiai_serra japi, estrada para a base","brazil_sao paulo_jundiai_serra japi",8
"brazil_sao paulo_ribeirao grande_parque estadual intervales, porem com trechos mais preservados sobre rochas carticas","brazil_sao paulo_ribeirao grande_parque estadual intervales",8
"brazil_sao paulo_salesopolis_estacao biologica boraceia, brejo ao redor estrada com vista para a pedreira","brazil_sao paulo_salesopolis_estacao biologica boraceia",8
"brazil_sao paulo_sao paulo_jardim botanico, parque estado","brazil_sao paulo_sao paulo_jardim botanico sao paulo",8
"brazil_NA_botucatu","",7
"brazil_NA_miracatu","",7
"brazil_NA_NA_character(0)","",7
"brazil_NA_NA_fazenda intervales sudlich von capao bonito","",7
"brazil_NA_NA_pedra grande","",7
"brazil_sao paulo_10km south of center of city of sao paulo_parque estado","",7
"brazil_sao paulo_8 km to iguape from the junction with the sao paulo","",7
"brazil_sao paulo_8km to iguape","",7
"brazil_sao paulo_a margem rodovia municipal","",7
"brazil_sao paulo_aglomeracao urbana jundiai","",7
"brazil_sao paulo_aglomeracao urbana jundiai_aglomeracao urbana jundiai","",7
"brazil_sao paulo_amparo_km 27 sp95","",7
"brazil_sao paulo_amparo_pastos fazenda n","",7
"brazil_sao paulo_anhembi_fazenda santa rita","",7
"brazil_sao paulo_apiai_estrada terra apiai ribeirao branco","",7
"brazil_sao paulo_areias_perto ribeirao vermelho","",7
"brazil_sao paulo_ariri","",7
"brazil_sao paulo_ariri_ariri","",7
"brazil_sao paulo_atibaia_beira estrada","",7
"brazil_sao paulo_atibaia_reserva grota funda","",7
"brazil_sao paulo_avai_margem esquerda rio batalha","",7
"brazil_sao paulo_bairro areia branca","",7
"brazil_sao paulo_bananal_aguas bocaina","",7
"brazil_sao paulo_barra turvo_parque estadual jucupiranga","",7
"brazil_sao paulo_beira estrada","",7
"brazil_sao paulo_bertioga_beira estrada","",7
"brazil_sao paulo_bertioga_ilha alcatrazes","",7
"brazil_sao paulo_bertioga_morro itagua","",7
"brazil_sao paulo_boa esperanca","",7
"brazil_sao paulo_boa esperanca_boa esperanca","",7
"brazil_sao paulo_bofete_morro tres pedras","",7
"brazil_sao paulo_braganca paulista_10","",7
"brazil_sao paulo_brasil_reserva florestal","",7
"brazil_sao paulo_brotas_conglomerado","",7
"brazil_sao paulo_brotas_north of intersection of brotas itirapina road with the road to campo alegre","",7
"brazil_sao paulo_cabreuva_serra japy","",7
"brazil_sao paulo_campinas_campus unicamp barao geraldo","",7
"brazil_sao paulo_campinas_obtida na coordenadoria assistencia tecnica integral","",7
"brazil_sao paulo_campinas_reserva municipal mata santa genebra","",7
"brazil_sao paulo_campinas_reserva municipal sta","",7
"brazil_sao paulo_campinas_sub distrito souza","",7
"brazil_sao paulo_campo alegre","",7
"brazil_sao paulo_campos jordao_5","",7
"brazil_sao paulo_campos jordao_alto lageado","",7
"brazil_sao paulo_campos jordao_brejo a beira estrada","",7
